fold,smooth_frac,year,heldout_negll,n_test,cells,bad_cells
1,1e-05,1976,664570.2123960471,505764,114,0
1,1e-05,1977,685702.2698596157,521193,113,0
1,1e-05,1978,702305.8084590951,537604,113,0
1,1e-05,1979,722626.6084950241,551045,114,0
1,1e-05,1980,740153.4685206494,554104,114,0
1,1e-05,1981,746269.8047274239,555002,114,0
1,1e-05,1982,750618.8709364166,547241,113,0
1,1e-05,1983,764307.8122069495,553036,113,0
1,1e-05,1984,795558.1687925999,575145,115,0
1,1e-05,1985,820245.7176703844,591637,114,0
1,1e-05,1986,841385.6341277875,603443,114,0
1,1e-05,1987,862453.8898705837,618307,114,0
1,1e-05,1988,890445.610556038,637619,114,0
1,1e-05,1989,909274.6749748989,650254,115,0
1,1e-05,1990,919949.9115828831,655142,115,0
1,1e-05,1991,924637.8833713973,653117,116,0
1,1e-05,1992,937090.6004505822,657701,117,0
1,1e-05,1993,954947.6049393864,667817,118,0
1,1e-05,1994,972406.6070455031,681922,119,0
1,1e-05,1995,987816.389161236,693721,119,0
1,1e-05,1996,1004223.4911044096,705202,120,0
1,1e-05,1997,1020353.6679332154,718499,120,0
1,1e-05,1998,1035126.0100501762,731676,119,0
1,1e-05,1999,1052222.0361620386,743805,120,0
1,1e-05,2000,1075344.1053000172,756573,121,0
1,1e-05,2001,1087135.5304307642,758111,121,0
1,1e-05,2002,1095201.320250382,755965,122,0
1,1e-05,2003,1100117.3687930482,756093,122,0
1,1e-05,2004,1112018.4215731549,763912,123,0
1,1e-05,2005,1122895.5822353046,771216,123,0
1,1e-05,2006,1134742.8281131347,777172,123,0
1,3e-05,1951,327829.2963731183,283353,107,0
