sex,cohort,source,g0,g1,g2,g3,h_young,h_old,delta,g0_raw,g1_raw,g2_raw,g3_raw
male,2036,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2037,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2038,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2039,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2040,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2041,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2042,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2043,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2044,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2045,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2046,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2047,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2048,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2049,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2050,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
