sex,cohort,source,g0,g1,g2,g3,h_young,h_old,g0_raw,g1_raw,g2_raw,g3_raw
male,2088,extrap_fwd,11.370540,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.995119,0.344590,-0.068720,0.000000
male,2089,extrap_fwd,11.381777,0.124687,-0.068720,0.000000,-0.553106,-0.083256,11.006355,0.344590,-0.068720,0.000000
male,2090,extrap_fwd,11.392914,0.124687,-0.068720,0.000000,-0.553106,-0.083256,11.017493,0.344590,-0.068720,0.000000
male,2091,extrap_fwd,11.404052,0.124687,-0.068720,0.000000,-0.553106,-0.083256,11.028631,0.344590,-0.068720,0.000000
male,2092,extrap_fwd,11.415190,0.124687,-0.068720,0.000000,-0.553106,-0.083256,11.039769,0.344590,-0.068720,0.000000
male,2093,extrap_fwd,11.426328,0.124687,-0.068720,0.000000,-0.553106,-0.083256,11.050906,0.344590,-0.068720,0.000000
male,2094,extrap_fwd,11.437465,0.124687,-0.068720,0.000000,-0.553106,-0.083256,11.062044,0.344590,-0.068720,0.000000
male,2095,extrap_fwd,11.448603,0.124687,-0.068720,0.000000,-0.553106,-0.083256,11.073182,0.344590,-0.068720,0.000000
male,2096,extrap_fwd,11.459741,0.124687,-0.068720,0.000000,-0.553106,-0.083256,11.084320,0.344590,-0.068720,0.000000
male,2097,extrap_fwd,11.470879,0.124687,-0.068720,0.000000,-0.553106,-0.083256,11.095457,0.344590,-0.068720,0.000000
male,2098,extrap_fwd,11.482016,0.124687,-0.068720,0.000000,-0.553106,-0.083256,11.106595,0.344590,-0.068720,0.000000
male,2099,extrap_fwd,11.493154,0.124687,-0.068720,0.000000,-0.553106,-0.083256,11.117733,0.344590,-0.068720,0.000000
